,name,last_commit,versions,extracted_version,import_counts,function_counts,n_python_file,n_notebook,include
12,Clancy-wu/PUMI,2025-01-17,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.9.1\n', 'extracted_version': '0.9.1'}, {'file': 'pyproject.toml', 'version': '>=0.9.1', 'extracted_version': '0.9.1'}]",0.9.1,"{'plotting': 3, 'connectome': 1, '_utils': 2, 'signal': 1, 'image': 1, 'datasets': 1}","{'plot_roi': 1, 'plotting': 4, 'plot_img': 1, 'ConnectivityMeasure': 1, 'check_niimg_4d': 1, '_safe_get_data': 1, 'clean': 1, 'plot_anat': 3, 'atlas': 2, 'index_img': 1, 'image': 1}",5,0,True
13,Clancy-wu/LesionBrainMapping,2024-03-18,[],,"{'image': 4, 'maskers': 2, 'plotting': 1, 'masking': 1, 'regions': 1, 'datasets': 1}","{'load_img': 15, 'image': 31, 'resample_img': 1, 'new_img_like': 2, 'NiftiSpheresMasker': 1, 'maskers': 5, 'NiftiMasker': 4, 'concat_imgs': 2, 'resample_to_img': 2, 'mean_img': 3, 'math_img': 5, 'binarize_img': 1, 'load_mni152_brain_mask': 1, 'datasets': 1}",3,1,True
14,tjiagoM/spatio-temporal-brain,2022-05-15,[],,{'connectome': 1},{'ConnectivityMeasure': 3},1,0,True
16,akcarsten/pyMate,2024-05-04,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.3\n', 'extracted_version': '0.10.3'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.10.3,"{'image': 1, 'plotting': 1, 'glm': 2}","{'FirstLevelModel': 2, 'load_img': 1, 'image': 3, 'resample_to_img': 1, 'make_first_level_design_matrix': 1, 'mean_img': 1, 'threshold_stats_img': 1, 'view_img': 1, 'plotting': 3, 'plot_design_matrix': 1, 'plot_contrast_matrix': 1}",1,0,True
17,Taranks7/Audio-visual_similarity,2021-09-20,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '- nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
18,catalystneuro/brunton-lab-to-nwb,2022-05-02,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.0.0,,,0,0,False
19,mattsherwood87/CoNNECT,2024-11-27,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}, {'file': 'docs/requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}]",0.10.4,,,0,0,False
20,egyptdj/stagin,2023-07-16,"[{'file': 'requirements.txt', 'version': 'nilearn==0.9.2\n', 'extracted_version': '0.9.2'}]",0.9.2,"{'image': 2, 'datasets': 2, 'maskers': 1}","{'new_img_like': 3, 'fetch_atlas_schaefer_2018': 7, 'load_img': 9, 'datasets': 21, 'fetch_atlas_aal': 5, 'fetch_atlas_destrieux_2009': 5, 'fetch_atlas_harvard_oxford': 5, 'NiftiLabelsMasker': 4, 'maskers': 4, 'torch': 1, 'image': 8, 'fetch_abide_pcp': 1}",2,0,True
21,egyptdj/fmri-radiomic-ml-sad,2022-06-29,[],,,,0,0,False
22,egyptdj/graph-neural-mapping,2020-06-15,[],,,,0,0,False
23,MELDProject/meld_graph,2025-01-24,"[{'file': 'docs/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '    - nilearn==0.10.2\n', 'extracted_version': '0.10.2'}]",0.10.2,"{'plotting': 2, 'image': 4, '_utils': 4}","{'resample_img': 2, 'image': 4, 'math_img': 2, 'find_xyz_cut_coords': 2, 'plotting': 6, 'plot_anat': 4, 'new_img_like': 4, 'as_ndarray': 4}",1,1,True
24,MELDProject/meld_classifier,2023-10-26,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '    - nilearn==0.8\n', 'extracted_version': '0.8'}]",0.8,"{'plotting': 2, 'image': 2}","{'resample_img': 4, 'image': 6, 'math_img': 2, 'find_xyz_cut_coords': 2, 'plotting': 4, 'plot_anat': 2}",1,1,True
25,NU-ACNLab/mwmh,2025-04-02,[],,"{'input_data': 28, 'plotting': 33, 'signal': 28, 'image': 27, 'glm': 17, 'connectome': 1}","{'clean_img': 63, 'image': 63, 'NiftiLabelsMasker': 9, 'butterworth': 6, 'signal': 6, 'FirstLevelModel': 16, 'plot_design_matrix': 2, 'plot_contrast_matrix': 4, 'plot_stat_map': 4, 'plotting': 4}",31,0,True
26,Houliang-Zhou/IG-GCN,2023-12-14,"[{'file': 'environment.yml', 'version': '  - nilearn=0.8.1=pyhd8ed1ab_0\n', 'extracted_version': '0.8.1'}]",0.8.1,,,0,0,False
27,artem-zatcepin/molecular-connectivity,2025-03-05,"[{'file': 'environment.yml', 'version': '  - nilearn=0.10.3=pyhd8ed1ab_0\n', 'extracted_version': '0.10.3'}]",0.10.3,"{'connectome': 1, 'plotting': 1}","{'ConnectivityMeasure': 2, 'plot_img': 4, 'plotting': 6, 'plot_matrix': 2}",1,1,True
28,pab2163/amygdala_mpfc_multiverse,2023-08-17,[],,"{'image': 15, 'plotting': 7, 'masking': 2}","{'load_img': 48, 'image': 48, 'masking': 4, 'nilearn': 4}",11,4,True
29,pab2163/mindful_brain_project,2025-02-20,[],,"{'image': 2, 'plotting': 2, 'masking': 2}","{'load_img': 9, 'image': 9, 'plot_roi': 2, 'plotting': 3, 'apply_mask': 2, 'masking': 2, 'plot_stat_map': 1}",1,1,True
30,by-liu/neu350,2020-04-02,[],,{'signal': 2},{'clean': 2},0,2,True
31,by-liu/RetinalApp,2023-02-09,"[{'file': 'requirements.txt', 'version': 'nilearn==0.8.0\n', 'extracted_version': '0.8.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.8.0,,,0,0,False
32,peetal/bgfc_kit,2024-03-29,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.0.0,"{'image': 4, 'regions': 1, 'masking': 2}","{'img_to_signals_labels': 2, 'load_img': 4, 'image': 6, 'apply_mask': 1, 'masking': 1, 'new_img_like': 2}",2,0,True
33,icon-lab/BolT,2023-06-21,[],,"{'datasets': 3, 'image': 2, 'input_data': 1}","{'datasets': 3, 'nilearn': 7, 'image': 4, 'NiftiLabelsMasker': 1}",3,0,True
34,mfvazquez/connectome_plotter,2021-04-18,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,{'plotting': 2},"{'plot_connectome': 1, 'plotting': 1, '_cmap_d': 1}",0,1,True
35,maikia/ramp_stroke,2020-10-15,[],,{'image': 3},{'load_img': 4},3,0,True
36,ozgurgulenn/assignment,2024-11-29,[],,"{'plotting': 1, 'image': 1}","{'plot_stat_map': 1, 'plotting': 1}",0,1,True
37,incubodac/PyDeconv,2024-09-24,[],,,,0,0,False
38,amirharari/FmriPreprocessing,2024-09-10,[],,"{'image': 3, 'maskers': 2, 'plotting': 2, 'glm': 2}","{'load_img': 2, 'image': 2, 'NiftiLabelsMasker': 2, 'FirstLevelModel': 1, 'plot_event': 1, 'plot_design_matrix': 1, 'SecondLevelModel': 1}",3,0,True
39,masamlinaric/Home_assignment_programming,2024-12-10,[],,{'plotting': 1},"{'plotting': 2, 'nilearn': 1, 'show': 1}",0,1,True
40,ben0it8/trans-MRI,2019-07-05,"[{'file': 'requirements.txt', 'version': 'nilearn==0.5.0\n', 'extracted_version': '0.5.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.5.0,,,0,0,False
42,kazunin/skill_factory,2021-08-31,"[{'file': 'module_3/results/requirements.txt', 'version': 'nilearn==0.7.1\n', 'extracted_version': '0.7.1'}]",0.7.1,,,0,0,False
43,ai-med/AbdomenNet,2021-06-18,"[{'file': 'quickNAT_pytorch/requirements.txt', 'version': 'nilearn==0.5.2\n', 'extracted_version': '0.5.2'}]",0.5.2,,,0,0,False
45,clinical-brain-networks/OCDBaseline_public,2022-09-05,[],,"{'plotting': 13, 'image': 15, 'regions': 3, 'glm': 5, 'input_data': 2, 'signal': 2, 'masking': 1}","{'plot_stat_map': 22, 'plotting': 55, 'coord_transform': 4, 'new_img_like': 8, 'connected_regions': 3, 'plot_prob_atlas': 3, 'index_img': 3, 'plot_roi': 4, 'show': 10, 'resample_to_img': 2, 'threshold_stats_img': 2, 'NiftiLabelsMasker': 1, 'NiftiSpheresMasker': 1, 'clean': 2, 'make_first_level_design_matrix': 1, 'run_glm': 1, 'FirstLevelModel': 1, 'compute_contrast': 1, 'apply_mask': 1, 'plot_img': 1, 'plot_glass_brain': 8, 'cm': 6, 'plot_anat': 1}",15,3,True
46,htylab/tigerbx,2025-02-02,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': ""             'nilearn>=0.9.2',\n"", 'extracted_version': '0.0.0'}]",0.0.0,{'image': 5},"{'reorder_img': 16, 'resample_img': 4, 'resample_to_img': 5}",5,0,True
47,KristianMoellmann/MLOps_git,2023-01-14,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'src/models/outputs/2023-01-08/18-06-36/wandb/run-20230108_180640-a2cf1oyh/files/requirements.txt', 'version': 'nilearn==0.7.1\n', 'extracted_version': '0.7.1'}, {'file': 'src/models/outputs/2023-01-08/18-05-50/wandb/run-20230108_180553-1coy83ne/files/requirements.txt', 'version': 'nilearn==0.7.1\n', 'extracted_version': '0.7.1'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0.7.1,,,0,0,False
48,jerdra/simnibs_tutorial,2021-03-22,[],,"{'image': 2, 'plotting': 2}","{'load_img': 2, 'image': 2, 'plot_anat': 4, 'plotting': 4}",0,2,True
49,ShiboXing/Improved-3dbraingen,2022-01-06,[],,"{'surface': 2, 'plotting': 10}","{'plot_img': 33, 'plotting': 68, 'show': 29, 'plot_anat': 6}",3,9,True
50,FarseenSh/Deep-Learning-Portfolio,2025-04-06,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.8.0\n', 'extracted_version': '0.8.0'}, {'file': 'Medical/fMRI-Explorer/requirements.txt', 'version': 'nilearn>=0.8.0\n', 'extracted_version': '0.8.0'}, {'file': 'Medical/BrainSeg3D/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'Medical/ModalMerge/requirements.txt', 'version': 'nilearn>=0.8.0  # for fMRI preprocessing and visualization\n', 'extracted_version': '0.8.0'}]",0.8.0,"{'datasets': 1, 'image': 1, 'plotting': 1, 'connectome': 1, 'maskers': 1, 'glm': 1, 'surface': 1}","{'fetch_adhd': 1, 'datasets': 4, 'load_img': 3, 'image': 4, 'fetch_icbm152_2009': 1, 'index_img': 1, 'NiftiMasker': 1, 'plot_glass_brain': 1, 'plotting': 9, 'plot_stat_map': 3, 'fetch_atlas_harvard_oxford': 1, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 2, 'connectome': 2, 'find_parcellation_cut_coords': 1, 'plot_connectome': 1, 'make_first_level_design_matrix': 1, 'FirstLevelModel': 1, 'fetch_surf_fsaverage': 1, 'vol_to_surf': 2, 'surface': 2, 'plot_surf_stat_map': 2, 'view_img': 1}",0,1,True
51,Amit-kr26/Contract-Information-Extractor,2025-01-09,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'all = [""GitPython"", ""black"", ""coverage (>=5.2.1)"", ""datalad"", ""dipy"", ""duecredit"", ""fuzzywuzzy"", ""ipython"", ""matplotlib"", ""nbsphinx"", ""nilearn"", ""nipy"", ""nitime"", ""pandas (>=1.5.0)"", ""paramiko"", ""psutil (>=5.0)"", ""pybids (>=0.7.0)"", ""pytest (>=6)"", ""pytest-cov (>=2.11)"", ""pytest-doctestplus"", ""pytest-env"", ""pytest-timeout (>=1.4)"", ""pytest-xdist (>=2.5)"", ""sphinx (>=2.1.2)"", ""sphinx (>=7)"", ""sphinx-argparse"", ""sphinxcontrib-apidoc"", ""xvfbwrapper""]\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
52,caitantal/qlsc612-git-exercise,2024-05-14,[],,,,0,0,False
53,alexblnn/Notip,2025-01-14,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': '                ""nilearn"",""sanssouci"",""matplotlib"",\n', 'extracted_version': '0.0.0'}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0.0.0,"{'input_data': 2, 'glm': 2, 'image': 5, 'datasets': 20, '_utils': 4, 'reporting': 2, 'plotting': 4}","{'get_data_dirs': 2, 'NiftiMasker': 3, 'fdr_threshold': 2, 'check_niimg_3d': 4, '_safe_get_data': 8, 'threshold_img': 3, '_local_max': 3, 'coord_transform': 3, 'new_img_like': 1, 'fetch_neurovault': 18, 'find_xyz_cut_coords': 3, 'plotting': 10, 'plot_stat_map': 7}",20,0,True
54,Jimklien1/Chattybot,2023-04-08,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.0\n', 'extracted_version': '0.10.0'}]",0.10.0,,,0,0,False
55,Grutschus/botender,2024-01-09,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'name = ""nilearn""\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
56,nwiltberg/project_msc05,2023-03-12,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'content/code/environment.yml', 'version': '    - nilearn==0.9.0\n', 'extracted_version': '0.9.0'}]",0.9.0,"{'datasets': 1, 'plotting': 1}","{'datasets': 2, 'nilearn': 1, 'fetch_atlas_yeo_2011': 1, 'plot_roi': 1, 'plotting': 1}",0,1,True
57,rockNroll87q/apparent_motion,2024-06-13,"[{'file': 'requirements.txt', 'version': 'nilearn==0.8.1\n', 'extracted_version': '0.8.1'}]",0.8.1,,,0,0,False
58,andrewrosss/nipype-generate-fieldmaps,2022-02-03,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'all = [""datalad"", ""pytest"", ""dipy (!=1.4.1)"", ""psutil (>=5.0)"", ""duecredit"", ""matplotlib"", ""nilearn"", ""paramiko"", ""sphinx-argparse"", ""sphinxcontrib-napoleon"", ""black"", ""pybids (>=0.7.0)"", ""xvfbwrapper"", ""nipy"", ""pytest-env"", ""coverage (<5)"", ""codecov"", ""nitime"", ""pytest-timeout"", ""sphinx (>=2.1.2)"", ""sphinxcontrib-apidoc"", ""nbsphinx"", ""pytest-cov"", ""ipython""]\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
59,felenitaribeiro/deepRetinotopy_TheToolbox,2025-03-28,"[{'file': 'environment.yml', 'version': '      - nilearn==0.6.0a0\n', 'extracted_version': '0.6'}]",0.6,,,0,0,False
60,RanArino/BDA700_Project,2024-11-24,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0.10.4,"{'image': 1, 'plotting': 1}","{'image': 16, 'shape': 3, 'load_img': 1, 'plot_epi': 1, 'plotting': 1}",0,1,True
61,garikoitz/launchcontainers,2024-10-16,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': None, 'extracted_version': None}]",,,,0,0,False
62,AI4MyBUPT/DACRLD,2024-08-20,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.0\n', 'extracted_version': '0.10.0'}]",0.10.0,,,0,0,False
63,favour-nerrise/xGW-GAT,2024-12-05,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.1\n', 'extracted_version': '0.10.1'}]",0.10.1,,,0,0,False
64,jamalw/music_event_structures_bucket,2022-08-15,[],,"{'input_data': 3, 'image': 27, 'surface': 2, 'datasets': 3, 'plotting': 7, 'connectome': 1, 'masking': 1}","{'load_img': 41, 'fetch_surf_fsaverage': 2, 'datasets': 3, 'vol_to_surf': 4, 'surface': 4, 'plot_surf_stat_map': 6, 'plotting': 7, 'plot_glass_brain': 1, 'NiftiMasker': 2, 'fetch_atlas_schaefer_2018': 1, 'ConnectivityMeasure': 1}",34,0,True
65,jamalw/MES_jukebox,2017-12-05,[],,"{'image': 5, 'input_data': 2, 'plotting': 2}","{'load_img': 19, 'NiftiMasker': 2}",7,0,True
66,jamalw/music_event_structures,2018-02-02,[],,"{'image': 3, 'input_data': 2, 'plotting': 2}","{'load_img': 9, 'NiftiMasker': 2}",5,0,True
67,jamalw/music_event_structures_tigress,2022-07-19,[],,"{'input_data': 3, 'image': 13, 'plotting': 2}","{'load_img': 27, 'NiftiMasker': 2}",15,0,True
68,TashinAhmed/HATE,2024-06-21,"[{'file': 'requirements.txt', 'version': 'nilearn                            0.6.2\n', 'extracted_version': '0.6.2'}]",0.6.2,,,0,0,False
69,loufay/Beyond-the-prompt,2025-03-11,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}]",0.10.4,,,0,0,False
70,didi226/scut_eeg_feature,2025-01-13,"[{'file': 'docs/requirements.txt', 'version': 'nilearn', 'extracted_version': '0.0.0'}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': ""'nilearn'\n"", 'extracted_version': '0.0.0'}]",0.0.0,"{'connectome': 2, 'plotting': 5}","{'ConnectivityMeasure': 2, 'plot_matrix': 3, 'plotting': 3}",2,2,True
71,nipype/pydra-tutorial,2024-12-29,"[{'file': 'environment.yml', 'version': '    - nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
72,nipype/nipype2pydra,2024-05-21,"[{'file': 'required-fileformats/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'nipype2pydra/pkg_gen/resources/templates/related-packages/fileformats-extras/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'nipype2pydra/pkg_gen/resources/templates/related-packages/fileformats/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/slicer/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/petpvc/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/nilearn/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/camino2trackvis/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/bru2nii/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/workbench/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/diffusion_toolkit/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/dcmstack/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/cmtk/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/dynamic_slicer/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/spm/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/niftyfit/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/fsl/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/robex/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/brainsuite/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/semtools/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/freesurfer/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/cat12/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/dipy/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/quickshear/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/ants/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/nitime/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/c3/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/niftyseg/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/vista/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/dtitk/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/elastix/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/minc/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/mipav/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/camino/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/meshfix/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/afni/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'required-fileformats/niftyreg/pyproject.toml', 'version': None, 'extracted_version': None}]",,,,0,0,False
73,nipype/pydra-mriqc,2024-05-22,"[{'file': 'tools/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'nipype-auto-conv/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",0.0.0,,,0,0,False
74,nipype/pydra,2025-04-02,"[{'file': 'pyproject.toml', 'version': '0.0.0', 'extracted_version': '0.0.0'}, {'file': 'environment.yml', 'version': '    - nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,"{'interfaces': 1, 'glm': 1, 'reporting': 1, 'plotting': 1}","{'first_level_from_bids': 1, 'get_design_from_fslmat': 1, 'make_glm_report': 1, 'get_clusters_table': 1, 'plot_glass_brain': 2, 'plot_img_comparison': 1, 'plot_contrast_matrix': 1}",0,1,True
75,nipype/pydra-nireports,2024-05-21,"[{'file': 'tools/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'nipype-auto-conv/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': '>= 0.5.2', 'extracted_version': '0.5.2'}]",0.5.2,,,0,0,False
76,nipype/pydra-niworkflows,2024-05-21,"[{'file': 'tools/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'nipype-auto-conv/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': '>= 0.5.2', 'extracted_version': '0.5.2'}]",0.5.2,,,0,0,False
77,nipype/pydra-fitlins,2022-09-12,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",0.0.0,"{'FirstLevelModel': 1, '_flatten': 1, 'prepare_contrasts': 1, 'plotting': 1, 'glm': 6}","{'FirstLevelModel': 3, 'prepare_contrasts': 1, '_flatten': 1, 'plot_design_matrix': 1, 'plotting': 7, 'plot_glass_brain': 2, 'plot_surf_stat_map': 4, 'make_first_level_design_matrix': 1, 'design_matrix': 1, 'run_glm': 2, 'first_level': 3, 'compute_contrast': 2, 'SecondLevelModel': 1, 'second_level': 1, '_compute_fixed_effects_params': 1, 'compute_fixed_effects': 1}",3,0,True
78,pantaray/hpc-parallel-computing,2023-07-20,[],,"{'datasets': 1, 'plotting': 1, 'maskers': 1, 'compute_connectome': 2, 'subjectList': 1}","{'fetch_development_fmri': 1, 'datasets': 2, 'fetch_coords_power_2011': 1, 'NiftiSpheresMasker': 1, 'plot_connectome': 1, 'plotting': 1, 'compute_connectome': 2, 'subjectList': 1}",1,2,True
79,rmenuet/fmri_decoding,2019-10-24,[],,"{'input_data': 3, 'datasets': 1, 'image': 1, 'plotting': 1}","{'NiftiMasker': 3, 'fetch_neurovault': 1, 'resample_to_img': 1, 'plot_glass_brain': 2, 'plot_stat_map': 2}",6,0,True
