name,last_commit,versions,n_notebook,n_notebook_parsed,n_python_file,n_python_file_parsed,import_counts,function_counts,contains_python_2,extracted_version,lockfile,has_version,has_imports,use_imports,include,user,repo,content,p_notebook_parsed,p_python_file_parsed,duplicated_repo
masamlinaric/Home_assignment_programming,2024-12-10,[],1,1,0,0,{'plotting': 1},"{'nilearn': 1, 'show': 1}",False,n/a,n/a,False,True,True,True,masamlinaric,Home_assignment_programming,notebook,1.0,n/a,False
pbobinsk/OpenAI_tests,2025-02-04,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'OReillyTworzenieAplikacji/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'emotions/Notebook/requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0,0,0,0,{},{},False,0.10.4,requirements.txt,True,False,False,True,pbobinsk,OpenAI_tests,mixed,n/a,n/a,False
ben0it8/trans-MRI,2019-07-05,"[{'file': 'requirements.txt', 'version': 'nilearn==0.5.0\n', 'extracted_version': '0.5.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,0,0,{},{},False,0.5.0,requirements.txt,True,False,False,True,ben0it8,trans-MRI,mixed,n/a,n/a,False
benearnthof/SynthRADdiffusion,2023-06-11,"[{'file': 'pyproject.toml', 'version': '^0.10.1', 'extracted_version': '0.10.1'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'Pipfile', 'version': None, 'extracted_version': None}, {'file': 'Pipfile.lock', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'name = ""nilearn""\n', 'extracted_version': '0.0.0'}]",0,0,2,2,{'surface': 2},{},False,several_versions_detected,several_lockfile_detected,True,True,False,True,benearnthof,SynthRADdiffusion,python,n/a,1.0,False
AnaFOliveira/Segmentation-of-Lungs,2020-07-27,"[{'file': 'requirements.txt', 'version': 'nilearn==0.5.2\n', 'extracted_version': '0.5.2'}, {'file': 'sample/Code/3DUnetCNN-master/requirements.txt', 'version': 'nilearn>=0.3.0\n', 'extracted_version': '0.3.0'}]",4,2,5,4,"{'image': 10, 'nilearn_utils': 5}","{'shape': 3, '__class__': 1, 'get_data': 1, 'affine': 1, 'mean': 1, 'new_img_like': 2, 'resample_to_img': 2, '_crop_img_to': 1}",False,several_versions_detected,requirements.txt,True,True,True,True,AnaFOliveira,Segmentation-of-Lungs,mixed,0.5,0.8,False
kazunin/skill_factory,2021-08-31,"[{'file': 'module_3/results/requirements.txt', 'version': 'nilearn==0.7.1\n', 'extracted_version': '0.7.1'}]",0,0,0,0,{},{},False,0.7.1,requirements.txt,True,False,False,True,kazunin,skill_factory,mixed,n/a,n/a,False
ai-med/AbdomenNet,2021-06-18,"[{'file': 'quickNAT_pytorch/requirements.txt', 'version': 'nilearn==0.5.2\n', 'extracted_version': '0.5.2'}]",0,0,0,0,{},{},False,0.5.2,requirements.txt,True,False,False,True,ai-med,AbdomenNet,mixed,n/a,n/a,False
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,2024-03-04,"[{'file': 'requirements.txt', 'version': 'nilearn==0.8.1\n', 'extracted_version': '0.8.1'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,10,6,"{'image': 5, 'input_data': 3, 'plotting': 3}","{'load_img': 4, 'new_img_like': 3, 'plot_matrix': 2, 'plot_glass_brain': 3, 'NiftiLabelsMasker': 1, 'binarize_img': 2, 'plot_roi': 3, 'threshold_img': 1, 'mean_img': 1, 'nilearn': 1}",False,0.8.1,requirements.txt,True,True,True,True,clinical-brain-networks,OCD_Naze_et_al_2022_Brain,python,n/a,0.6,False
clinical-brain-networks/OCDBaseline_public,2022-09-05,[],3,3,16,15,"{'plotting': 13, 'image': 15, 'regions': 3, 'glm': 5, 'input_data': 2, 'signal': 2, 'masking': 1}","{'plot_anat': 1, 'new_img_like': 8, 'plot_stat_map': 22, 'plot_roi': 4, 'show': 10, 'coord_transform': 4, 'connected_regions': 3, 'plot_prob_atlas': 3, 'index_img': 3, 'resample_to_img': 2, 'threshold_stats_img': 2, 'NiftiLabelsMasker': 1, 'NiftiSpheresMasker': 1, 'clean': 2, 'make_first_level_design_matrix': 1, 'run_glm': 1, 'FirstLevelModel': 1, 'compute_contrast': 1, 'apply_mask': 1, 'plot_img': 1, 'plot_glass_brain': 8, 'cm': 6}",False,n/a,n/a,False,True,True,True,clinical-brain-networks,OCDBaseline_public,mixed,1.0,0.9375,False
htylab/tigerbx,2025-02-02,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': 'nilearn>=0.9.2', 'extracted_version': '0.9.2'}]",0,0,6,5,{'image': 5},"{'reorder_img': 16, 'resample_img': 4, 'resample_to_img': 5}",False,0.9.2,setup.py,True,True,True,True,htylab,tigerbx,python,n/a,0.8333333333333334,False
KristianMoellmann/MLOps_git,2023-01-14,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0,0,0,0,{},{},False,n/a,n/a,False,False,False,False,KristianMoellmann,MLOps_git,mixed,n/a,n/a,False
jerdra/BOONStim,2023-01-26,[],0,0,3,3,{'image': 3},{'load_img': 5},False,n/a,n/a,False,True,True,True,jerdra,BOONStim,python,n/a,1.0,False
jerdra/simnibs_tutorial,2021-03-22,[],4,2,0,0,"{'image': 2, 'plotting': 2}","{'load_img': 2, 'plot_anat': 4}",False,n/a,n/a,False,True,True,True,jerdra,simnibs_tutorial,notebook,0.5,n/a,False
ShiboXing/Improved-3dbraingen,2022-01-06,[],9,9,3,3,"{'plotting': 10, 'surface': 2}","{'plot_img': 33, 'show': 29, 'plot_anat': 6}",False,n/a,n/a,False,True,True,True,ShiboXing,Improved-3dbraingen,mixed,1.0,1.0,False
FarseenSh/Deep-Learning-Portfolio,2025-04-06,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.8.0\n', 'extracted_version': '0.8.0'}, {'file': 'Medical/fMRI-Explorer/requirements.txt', 'version': 'nilearn>=0.8.0\n', 'extracted_version': '0.8.0'}, {'file': 'Medical/BrainSeg3D/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'Medical/ModalMerge/requirements.txt', 'version': 'nilearn>=0.8.0  # for fMRI preprocessing and visualization\n', 'extracted_version': '0.8.0'}]",1,1,0,0,"{'datasets': 1, 'image': 1, 'plotting': 1, 'connectome': 1, 'maskers': 1, 'glm': 1, 'surface': 1}","{'fetch_adhd': 1, 'load_img': 3, 'fetch_icbm152_2009': 1, 'index_img': 1, 'NiftiMasker': 1, 'plot_glass_brain': 1, 'plot_stat_map': 3, 'fetch_atlas_harvard_oxford': 1, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 2, 'find_parcellation_cut_coords': 1, 'plot_connectome': 1, 'make_first_level_design_matrix': 1, 'FirstLevelModel': 1, 'fetch_surf_fsaverage': 1, 'vol_to_surf': 2, 'plot_surf_stat_map': 2, 'view_img': 1}",False,0.8.0,requirements.txt,True,True,True,True,FarseenSh,Deep-Learning-Portfolio,notebook,1.0,n/a,False
Amit-kr26/Contract-Information-Extractor,2025-01-09,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'all = [""GitPython"", ""black"", ""coverage (>=5.2.1)"", ""datalad"", ""dipy"", ""duecredit"", ""fuzzywuzzy"", ""ipython"", ""matplotlib"", ""nbsphinx"", ""nilearn"", ""nipy"", ""nitime"", ""pandas (>=1.5.0)"", ""paramiko"", ""psutil (>=5.0)"", ""pybids (>=0.7.0)"", ""pytest (>=6)"", ""pytest-cov (>=2.11)"", ""pytest-doctestplus"", ""pytest-env"", ""pytest-timeout (>=1.4)"", ""pytest-xdist (>=2.5)"", ""sphinx (>=2.1.2)"", ""sphinx (>=7)"", ""sphinx-argparse"", ""sphinxcontrib-apidoc"", ""xvfbwrapper""]\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,poetry.lock,True,False,False,True,Amit-kr26,Contract-Information-Extractor,mixed,n/a,n/a,False
caitantal/qlsc612-git-exercise,2024-05-14,[],0,0,1,0,{},{},False,n/a,n/a,False,False,False,False,caitantal,qlsc612-git-exercise,mixed,n/a,0.0,False
alexblnn/Notip,2025-01-14,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",2,0,21,20,"{'input_data': 2, 'glm': 2, 'image': 5, 'datasets': 20, '_utils': 4, 'reporting': 2, 'plotting': 4}","{'get_data_dirs': 2, 'NiftiMasker': 3, 'fdr_threshold': 2, 'check_niimg_3d': 4, '_safe_get_data': 8, 'threshold_img': 3, '_local_max': 3, 'coord_transform': 3, 'new_img_like': 1, 'fetch_neurovault': 18, 'find_xyz_cut_coords': 3, 'plot_stat_map': 7}",False,0.0.0,requirements.txt,True,True,True,True,alexblnn,Notip,python,0.0,0.9523809523809523,False
koreywylie/networkZoo,2023-03-04,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}]",0,0,6,5,"{'plotting': 3, 'image': 5, 'masking': 2}","{'resample_to_img': 4, 'math_img': 1, 'apply_mask': 1, 'unmask': 1, 'find_xyz_cut_coords': 1, 'find_cut_slices': 3, 'plot_stat_map': 1, 'copy_img': 1, 'new_img_like': 3, 'concat_imgs': 1, 'load_img': 11, 'index_img': 1, 'iter_img': 1}",False,0.0.0,requirements.txt,True,True,True,True,koreywylie,networkZoo,python,n/a,0.8333333333333334,False
Jimklien1/Chattybot,2023-04-08,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.0\n', 'extracted_version': '0.10.0'}]",0,0,0,0,{},{},False,0.10.0,requirements.txt,True,False,False,True,Jimklien1,Chattybot,mixed,n/a,n/a,False
Grutschus/botender,2024-01-09,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'name = ""nilearn""\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,poetry.lock,True,False,False,True,Grutschus,botender,mixed,n/a,n/a,False
nwiltberg/project_msc05,2023-03-12,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'content/code/environment.yml', 'version': '    - nilearn==0.9.0\n', 'extracted_version': '0.9.0'}]",6,1,0,0,"{'datasets': 1, 'plotting': 1}","{'nilearn': 1, 'fetch_atlas_yeo_2011': 1, 'plot_roi': 1}",False,0.9.0,environment.yml,True,True,True,True,nwiltberg,project_msc05,notebook,0.16666666666666666,n/a,False
AkaniX3/Phishing-detector-tool,2024-03-29,"[{'file': 'backend/requirements.txt', 'version': 'nilearn==0.10.2\n', 'extracted_version': '0.10.2'}]",0,0,0,0,{},{},False,0.10.2,requirements.txt,True,False,False,True,AkaniX3,Phishing-detector-tool,mixed,n/a,n/a,False
rockNroll87q/apparent_motion,2024-06-13,"[{'file': 'requirements.txt', 'version': 'nilearn==0.8.1\n', 'extracted_version': '0.8.1'}]",0,0,0,0,{},{},False,0.8.1,requirements.txt,True,False,False,True,rockNroll87q,apparent_motion,mixed,n/a,n/a,False
susanneweis/junifer,2022-09-14,"[{'file': 'pyproject.toml', 'version': '0.0.0', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,10,7,"{'datasets': 5, 'image': 6, 'maskers': 3, '_utils': 2, 'masking': 1}","{'fetch_oasis_vbm': 3, 'fetch_atlas_schaefer_2018': 4, 'NiftiLabelsMasker': 4, 'resample_to_img': 3, 'math_img': 3, 'NiftiMasker': 3, 'fetch_spm_auditory': 3, 'concat_imgs': 4, 'compute_brain_mask': 1, 'clean_img': 1, 'check_niimg_4d': 2}",False,0.0.0,pyproject.toml,True,True,True,True,susanneweis,junifer,python,n/a,0.7,False
yash9439/Question-Answering-Model-BERT-BIDAF-BILSTM,2023-06-12,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.0\n', 'extracted_version': '0.10.0'}]",0,0,0,0,{},{},False,0.10.0,requirements.txt,True,False,False,True,yash9439,Question-Answering-Model-BERT-BIDAF-BILSTM,mixed,n/a,n/a,False
yash9439/NLP-ProjectArchive,2023-06-12,"[{'file': 'Question-Answering-Model-BERT-BIDAF-BILSTM/requirements.txt', 'version': 'nilearn==0.10.0\n', 'extracted_version': '0.10.0'}]",0,0,0,0,{},{},False,0.10.0,requirements.txt,True,False,False,True,yash9439,NLP-ProjectArchive,mixed,n/a,n/a,False
brooksniu/NewsPin,2024-06-06,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.0\n', 'extracted_version': '0.10.0'}]",0,0,0,0,{},{},False,0.10.0,requirements.txt,True,False,False,True,brooksniu,NewsPin,mixed,n/a,n/a,False
andrewrosss/nipype-generate-fieldmaps,2022-02-03,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'all = [""datalad"", ""pytest"", ""dipy (!=1.4.1)"", ""psutil (>=5.0)"", ""duecredit"", ""matplotlib"", ""nilearn"", ""paramiko"", ""sphinx-argparse"", ""sphinxcontrib-napoleon"", ""black"", ""pybids (>=0.7.0)"", ""xvfbwrapper"", ""nipy"", ""pytest-env"", ""coverage (<5)"", ""codecov"", ""nitime"", ""pytest-timeout"", ""sphinx (>=2.1.2)"", ""sphinxcontrib-apidoc"", ""nbsphinx"", ""pytest-cov"", ""ipython""]\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,poetry.lock,True,False,False,True,andrewrosss,nipype-generate-fieldmaps,mixed,n/a,n/a,False
chaitanya240999/Pneumonia-Detection-using-Hybrid-CNN-Model,2024-08-28,"[{'file': 'Pneumoni/Pneumonia-Detection-via-Transfer-Learning/requirements.txt', 'version': 'nilearn==0.10.1\n', 'extracted_version': '0.10.1'}]",0,0,0,0,{},{},False,0.10.1,requirements.txt,True,False,False,True,chaitanya240999,Pneumonia-Detection-using-Hybrid-CNN-Model,mixed,n/a,n/a,False
intel/ai-reference-models,2025-04-07,"[{'file': 'models/language_modeling/tensorflow/bert_large/inference/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models/language_modeling/tensorflow/bert_large/training/bfloat16/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models/language_modeling/tensorflow/bert_large/training/fp16/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models/language_modeling/tensorflow/bert_large/training/fp32/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models/language_modeling/tensorflow/bert_large/inference/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'benchmarks/language_translation/tensorflow/bert/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/stable_diffusion/training/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/stable_diffusion/inference/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/rnnt/training/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/rnnt/training/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/rnnt/inference/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/rnnt/inference/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/llama/training/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/resnet50v1_5/training/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/resnet50v1_5/inference/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/torchrec_dlrm/inference/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/dlrm/training/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/dlrm/inference/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/bert_large/training/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/bert_large/inference/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/maskrcnn/training/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/maskrcnn/training/cpu/maskrcnn-benchmark/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/maskrcnn/inference/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/maskrcnn/inference/cpu/maskrcnn-benchmark/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/distilbert/inference/gpu/demo-data/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/3d_unet/training/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/3d_unet/inference/cpu/requirements.txt', 'version': 'nilearn==0.6.2\n', 'extracted_version': '0.6.2'}, {'file': 'models_v2/tensorflow/stable_diffusion/inference/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/bert_large_hf/inference/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/graphsage/inference/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/bert_large/training/gpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/bert_large/inference/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/wide_deep/inference/cpu/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'datasets/dataset_api/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/ssd-mobilenetv1/inference/gpu/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/distilbert/inference/gpu/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/resnet50v1_5/training/gpu/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/bert_large/training/gpu/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/bert_large/inference/cpu/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/maskrcnn/training/gpu/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'datasets/dataset_api/pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/maskrcnn/training/cpu/setup.py', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/maskrcnn/training/cpu/maskrcnn-benchmark/setup.py', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/maskrcnn/inference/cpu/setup.py', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/maskrcnn/inference/cpu/maskrcnn-benchmark/setup.py', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': None, 'extracted_version': None}, {'file': 'models_v2/pytorch/distilbert/inference/gpu/poetry.lock', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/resnet50v1_5/training/gpu/poetry.lock', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/bert_large/training/gpu/poetry.lock', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/bert_large/inference/cpu/poetry.lock', 'version': None, 'extracted_version': None}, {'file': 'models_v2/tensorflow/maskrcnn/training/gpu/poetry.lock', 'version': None, 'extracted_version': None}]",0,0,5,5,"{'image': 5, 'nilearn_utils': 2}","{'new_img_like': 3, 'resample_to_img': 2, 'crop_img_to': 1, 'reorder_img': 1, 'resample_img': 1, 'check_niimg': 1, '_crop_img_to': 1}",False,0.6.2,requirements.txt,True,True,True,True,intel,ai-reference-models,python,n/a,1.0,False
Ansh-Sarkar/Sectral,2024-12-14,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0,0,0,0,{},{},False,0.10.4,requirements.txt,True,False,False,True,Ansh-Sarkar,Sectral,mixed,n/a,n/a,False
felenitaribeiro/deepRetinotopy_TheToolbox,2025-03-28,"[{'file': 'environment.yml', 'version': '      - nilearn==0.6.0a0\n', 'extracted_version': '0.6'}]",0,0,0,0,{},{},False,0.6,environment.yml,True,False,False,True,felenitaribeiro,deepRetinotopy_TheToolbox,mixed,n/a,n/a,False
templateflow/templateflow-notebooks,2022-10-05,[],1,1,1,1,{'plotting': 2},"{'plot_roi': 1, 'plot_surf': 1}",False,n/a,n/a,False,True,True,True,templateflow,templateflow-notebooks,mixed,1.0,1.0,False
RanArino/BDA700_Project,2024-11-24,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",1,1,0,0,"{'image': 1, 'plotting': 1}","{'shape': 3, 'load_img': 1, 'plot_epi': 1}",False,0.10.4,requirements.txt,True,True,True,True,RanArino,BDA700_Project,notebook,1.0,n/a,False
garikoitz/launchcontainers,2024-10-16,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': None, 'extracted_version': None}]",0,0,1,0,{},{},False,n/a,n/a,False,False,False,False,garikoitz,launchcontainers,mixed,n/a,0.0,False
AI4MyBUPT/DACRLD,2024-08-20,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.0\n', 'extracted_version': '0.10.0'}]",0,0,0,0,{},{},False,0.10.0,requirements.txt,True,False,False,True,AI4MyBUPT,DACRLD,mixed,n/a,n/a,False
favour-nerrise/xGW-GAT,2024-12-05,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.1\n', 'extracted_version': '0.10.1'}]",0,0,0,0,{},{},False,0.10.1,requirements.txt,True,False,False,True,favour-nerrise,xGW-GAT,mixed,n/a,n/a,False
yalab-devops/yalab-procedures,2025-02-12,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'full = [""darkdetect"", ""defusedxml"", ""dipy"", ""edfio (>=0.2.1)"", ""eeglabio"", ""h5io (>=0.2.4)"", ""h5py"", ""imageio (>=2.6.1)"", ""imageio-ffmpeg (>=0.4.1)"", ""ipyevents"", ""ipympl"", ""ipywidgets"", ""joblib"", ""jupyter"", ""mffpy (>=0.5.7)"", ""mne-qt-browser"", ""neo"", ""nibabel"", ""nilearn"", ""numba"", ""openmeeg (>=2.5.5)"", ""pandas"", ""psutil"", ""pyarrow"", ""pybv"", ""pymatreader"", ""pyobjc-framework-cocoa (>=5.2.0)"", ""pyqt6 (!=6.6.0)"", ""pyqt6-qt6 (!=6.6.0,!=6.7.0)"", ""python-picard"", ""pyvista (>=0.32,!=0.35.2,!=0.38.0,!=0.38.1,!=0.38.2,!=0.38.3,!=0.38.4,!=0.38.5,!=0.38.6,!=0.42.0)"", ""pyvistaqt (>=0.4)"", ""qdarkstyle (!=3.2.2)"", ""qtpy"", ""scikit-learn"", ""sip"", ""snirf"", ""statsmodels"", ""threadpoolctl"", ""traitlets"", ""trame"", ""trame-vtk"", ""trame-vuetify"", ""vtk"", ""xlrd""]\n', 'extracted_version': '0.0.0'}]",0,0,0,0,{},{},False,0.0.0,poetry.lock,True,False,False,True,yalab-devops,yalab-procedures,mixed,n/a,n/a,False
jamalw/music_event_structures_bucket,2022-08-15,[],0,0,34,34,"{'input_data': 3, 'image': 27, 'surface': 2, 'datasets': 3, 'plotting': 7, 'connectome': 1, 'masking': 1}","{'load_img': 41, 'fetch_surf_fsaverage': 2, 'vol_to_surf': 4, 'plot_surf_stat_map': 6, 'plot_glass_brain': 1, 'NiftiMasker': 2, 'fetch_atlas_schaefer_2018': 1, 'ConnectivityMeasure': 1}",False,n/a,n/a,False,True,True,True,jamalw,music_event_structures_bucket,python,n/a,1.0,False
