name,last_commit,versions,extracted_version,import_counts,function_counts,n_python_file,n_notebook,has_version,has_imports,use_imports,include,user,repo,content,duplicated_repo
Sapphirine/Dynamic-Networks-Supporting-Memory-in-the-Human-Brain,2019-12-19,"[{'file': 'requirements.txt', 'version': 'nilearn==0.5.2\n', 'extracted_version': '0.5.2'}, {'file': 'venv/lib/python3.5/site-packages/scipy/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/_lib/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/optimize/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/fftpack/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/ndimage/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/spatial/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/signal/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/interpolate/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/cluster/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/misc/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/odr/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/stats/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/io/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/sparse/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/constants/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/special/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/integrate/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/linalg/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/optimize/_trustregion_constr/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/optimize/_trlib/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/optimize/_lsq/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/spatial/transform/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/signal/windows/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/io/arff/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/io/harwell_boeing/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/io/matlab/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/sparse/csgraph/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/sparse/linalg/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/sparse/linalg/eigen/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/sparse/linalg/dsolve/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/sparse/linalg/isolve/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/sparse/linalg/eigen/lobpcg/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/sparse/linalg/eigen/arpack/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/scipy/special/_precompute/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/compat/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/distutils/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/fft/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/matrixlib/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/ma/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/lib/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/core/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/random/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/f2py/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/testing/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/polynomial/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/numpy/linalg/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/metrics/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/manifold/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/ensemble/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/cluster/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/neighbors/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/externals/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/feature_extraction/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/decomposition/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/utils/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/svm/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/datasets/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/preprocessing/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/tree/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/__check_build/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/linear_model/setup.py', 'version': None, 'extracted_version': None}, {'file': 'venv/lib/python3.5/site-packages/sklearn/metrics/cluster/setup.py', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '  - nilearn\n', 'extracted_version': '0.0.0'}]",several_versions_detected,"{'plotting': 2, 'datasets': 1}","{'html_connectome': 1, 'plotting': 1, 'fetch_surf_fsaverage': 1, 'datasets': 1, 'mesh_to_plotly': 1}",1,0,True,True,True,True,Sapphirine,Dynamic-Networks-Supporting-Memory-in-the-Human-Brain,python,False
Clancy-wu/ME-PCA,2024-11-25,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",0.0.0,"{'image': 1, 'signal': 1, 'masking': 1, 'maskers': 1}","{'load_img': 1, 'image': 1}",1,0,True,True,True,True,Clancy-wu,ME-PCA,python,False
Clancy-wu/PUMI,2025-01-17,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.9.1\n', 'extracted_version': '0.9.1'}, {'file': 'pyproject.toml', 'version': '>=0.9.1', 'extracted_version': '0.9.1'}]",0.9.1,"{'plotting': 3, 'connectome': 1, '_utils': 2, 'signal': 1, 'image': 1, 'datasets': 1}","{'plot_roi': 1, 'plotting': 4, 'plot_img': 1, 'ConnectivityMeasure': 1, 'check_niimg_4d': 1, '_safe_get_data': 1, 'clean': 1, 'plot_anat': 3, 'atlas': 2, 'index_img': 1, 'image': 1}",5,0,True,True,True,True,Clancy-wu,PUMI,python,False
Clancy-wu/LesionBrainMapping,2024-03-18,[],n/a,"{'image': 4, 'maskers': 2, 'plotting': 1, 'masking': 1, 'regions': 1, 'datasets': 1}","{'load_img': 15, 'image': 31, 'resample_img': 1, 'new_img_like': 2, 'NiftiSpheresMasker': 1, 'maskers': 5, 'NiftiMasker': 4, 'concat_imgs': 2, 'resample_to_img': 2, 'mean_img': 3, 'math_img': 5, 'binarize_img': 1, 'load_mni152_brain_mask': 1, 'datasets': 1}",3,1,False,True,True,True,Clancy-wu,LesionBrainMapping,mixed,False
tjiagoM/spatio-temporal-brain,2022-05-15,[],n/a,{'connectome': 1},{'ConnectivityMeasure': 3},1,0,False,True,True,True,tjiagoM,spatio-temporal-brain,python,False
vkola-lab/iscience2023,2023-08-03,"[{'file': 'mri_surv/cgan_m/cnn/requirements.txt', 'version': 'nilearn==0.9.1\n', 'extracted_version': '0.9.1'}, {'file': 'mri_surv/scnn_demo/environment.yml', 'version': '    - nilearn==0.7.0\n', 'extracted_version': '0.7.0'}, {'file': 'mri_surv/cgan_m/cnn/environment.yml', 'version': '    - nilearn==0.7.0\n', 'extracted_version': '0.7.0'}]",several_versions_detected,{'plotting': 4},"{'plot_img': 5, 'plotting': 13, 'plot_anat': 1, 'plot_stat_map': 6, 'find_cut_slices': 3}",4,0,True,True,True,True,vkola-lab,iscience2023,python,False
akcarsten/pyMate,2024-05-04,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.3\n', 'extracted_version': '0.10.3'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.10.3,"{'image': 1, 'plotting': 1, 'glm': 2}","{'FirstLevelModel': 2, 'load_img': 1, 'image': 3, 'resample_to_img': 1, 'make_first_level_design_matrix': 1, 'mean_img': 1, 'threshold_stats_img': 1, 'view_img': 1, 'plotting': 3, 'plot_design_matrix': 1, 'plot_contrast_matrix': 1}",1,0,True,True,True,True,akcarsten,pyMate,python,False
Taranks7/Audio-visual_similarity,2021-09-20,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '- nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,n/a,n/a,0,0,True,False,False,True,Taranks7,Audio-visual_similarity,mixed,False
catalystneuro/brunton-lab-to-nwb,2022-05-02,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.0.0,n/a,n/a,0,0,True,False,False,True,catalystneuro,brunton-lab-to-nwb,mixed,False
mattsherwood87/CoNNECT,2024-11-27,"[{'file': 'requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}, {'file': 'docs/requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}]",0.10.4,n/a,n/a,0,0,True,False,False,True,mattsherwood87,CoNNECT,mixed,False
egyptdj/stagin,2023-07-16,"[{'file': 'requirements.txt', 'version': 'nilearn==0.9.2\n', 'extracted_version': '0.9.2'}]",0.9.2,"{'image': 2, 'datasets': 2, 'maskers': 1}","{'new_img_like': 3, 'fetch_atlas_schaefer_2018': 7, 'load_img': 9, 'datasets': 21, 'fetch_atlas_aal': 5, 'fetch_atlas_destrieux_2009': 5, 'fetch_atlas_harvard_oxford': 5, 'NiftiLabelsMasker': 4, 'maskers': 4, 'torch': 1, 'image': 8, 'fetch_abide_pcp': 1}",2,0,True,True,True,True,egyptdj,stagin,python,False
egyptdj/fmri-radiomic-ml-sad,2022-06-29,[],n/a,n/a,n/a,0,0,False,False,False,False,egyptdj,fmri-radiomic-ml-sad,mixed,False
egyptdj/graph-neural-mapping,2020-06-15,[],n/a,n/a,n/a,0,0,False,False,False,False,egyptdj,graph-neural-mapping,mixed,False
MELDProject/meld_graph,2025-01-24,"[{'file': 'docs/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '    - nilearn==0.10.2\n', 'extracted_version': '0.10.2'}]",0.10.2,"{'plotting': 2, 'image': 4, '_utils': 4}","{'resample_img': 2, 'image': 4, 'math_img': 2, 'find_xyz_cut_coords': 2, 'plotting': 6, 'plot_anat': 4, 'new_img_like': 4, 'as_ndarray': 4}",1,1,True,True,True,True,MELDProject,meld_graph,mixed,False
MELDProject/meld_classifier,2023-10-26,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'environment.yml', 'version': '    - nilearn==0.8\n', 'extracted_version': '0.8'}]",0.8,"{'plotting': 2, 'image': 2}","{'resample_img': 4, 'image': 6, 'math_img': 2, 'find_xyz_cut_coords': 2, 'plotting': 4, 'plot_anat': 2}",1,1,True,True,True,True,MELDProject,meld_classifier,mixed,False
NU-ACNLab/mwmh,2025-04-02,[],n/a,"{'input_data': 28, 'plotting': 33, 'signal': 28, 'image': 27, 'glm': 17, 'connectome': 1}","{'clean_img': 63, 'image': 63, 'NiftiLabelsMasker': 9, 'butterworth': 6, 'signal': 6, 'FirstLevelModel': 16, 'plot_design_matrix': 2, 'plot_contrast_matrix': 4, 'plot_stat_map': 4, 'plotting': 4}",31,0,False,True,True,True,NU-ACNLab,mwmh,python,False
Houliang-Zhou/IG-GCN,2023-12-14,"[{'file': 'environment.yml', 'version': '  - nilearn=0.8.1=pyhd8ed1ab_0\n', 'extracted_version': '0.8.1'}]",0.8.1,n/a,n/a,0,0,True,False,False,True,Houliang-Zhou,IG-GCN,mixed,False
artem-zatcepin/molecular-connectivity,2025-03-05,"[{'file': 'environment.yml', 'version': '  - nilearn=0.10.3=pyhd8ed1ab_0\n', 'extracted_version': '0.10.3'}]",0.10.3,"{'connectome': 1, 'plotting': 1}","{'ConnectivityMeasure': 2, 'plot_img': 4, 'plotting': 6, 'plot_matrix': 2}",1,1,True,True,True,True,artem-zatcepin,molecular-connectivity,mixed,False
pab2163/amygdala_mpfc_multiverse,2023-08-17,[],n/a,"{'image': 15, 'plotting': 7, 'masking': 2}","{'load_img': 48, 'image': 48, 'masking': 4, 'nilearn': 4}",11,4,False,True,True,True,pab2163,amygdala_mpfc_multiverse,mixed,False
pab2163/mindful_brain_project,2025-02-20,[],n/a,"{'image': 2, 'plotting': 2, 'masking': 2}","{'load_img': 9, 'image': 9, 'plot_roi': 2, 'plotting': 3, 'apply_mask': 2, 'masking': 2, 'plot_stat_map': 1}",1,1,False,True,True,True,pab2163,mindful_brain_project,mixed,False
by-liu/neu350,2020-04-02,[],n/a,{'signal': 2},{'clean': 2},0,2,False,True,True,True,by-liu,neu350,notebook,False
by-liu/RetinalApp,2023-02-09,"[{'file': 'requirements.txt', 'version': 'nilearn==0.8.0\n', 'extracted_version': '0.8.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.8.0,n/a,n/a,0,0,True,False,False,True,by-liu,RetinalApp,mixed,False
peetal/bgfc_kit,2024-03-29,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.0.0,"{'image': 4, 'regions': 1, 'masking': 2}","{'img_to_signals_labels': 2, 'load_img': 4, 'image': 6, 'apply_mask': 1, 'masking': 1, 'new_img_like': 2}",2,0,True,True,True,True,peetal,bgfc_kit,python,False
icon-lab/BolT,2023-06-21,[],n/a,"{'datasets': 3, 'image': 2, 'input_data': 1}","{'datasets': 3, 'nilearn': 7, 'image': 4, 'NiftiLabelsMasker': 1}",3,0,False,True,True,True,icon-lab,BolT,python,False
mfvazquez/connectome_plotter,2021-04-18,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}]",0.0.0,{'plotting': 2},"{'plot_connectome': 1, 'plotting': 1, '_cmap_d': 1}",0,1,True,True,True,True,mfvazquez,connectome_plotter,notebook,False
maikia/ramp_stroke,2020-10-15,[],n/a,{'image': 3},{'load_img': 4},3,0,False,True,True,True,maikia,ramp_stroke,python,False
ozgurgulenn/assignment,2024-11-29,[],n/a,"{'plotting': 1, 'image': 1}","{'plot_stat_map': 1, 'plotting': 1}",0,1,False,True,True,True,ozgurgulenn,assignment,notebook,False
incubodac/PyDeconv,2024-09-24,[],n/a,n/a,n/a,0,0,False,False,False,False,incubodac,PyDeconv,mixed,False
amirharari/FmriPreprocessing,2024-09-10,[],n/a,"{'image': 3, 'maskers': 2, 'plotting': 2, 'glm': 2}","{'load_img': 2, 'image': 2, 'NiftiLabelsMasker': 2, 'FirstLevelModel': 1, 'plot_event': 1, 'plot_design_matrix': 1, 'SecondLevelModel': 1}",3,0,False,True,True,True,amirharari,FmriPreprocessing,python,False
masamlinaric/Home_assignment_programming,2024-12-10,[],n/a,{'plotting': 1},"{'plotting': 2, 'nilearn': 1, 'show': 1}",0,1,False,True,True,True,masamlinaric,Home_assignment_programming,notebook,False
ben0it8/trans-MRI,2019-07-05,"[{'file': 'requirements.txt', 'version': 'nilearn==0.5.0\n', 'extracted_version': '0.5.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0.5.0,n/a,n/a,0,0,True,False,False,True,ben0it8,trans-MRI,mixed,False
benearnthof/SynthRADdiffusion,2023-06-11,"[{'file': 'pyproject.toml', 'version': '^0.10.1', 'extracted_version': '0.10.1'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'Pipfile', 'version': None, 'extracted_version': None}, {'file': 'Pipfile.lock', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'name = ""nilearn""\n', 'extracted_version': '0.0.0'}]",several_versions_detected,{'surface': 2},n/a,2,0,True,True,False,True,benearnthof,SynthRADdiffusion,python,False
kazunin/skill_factory,2021-08-31,"[{'file': 'module_3/results/requirements.txt', 'version': 'nilearn==0.7.1\n', 'extracted_version': '0.7.1'}]",0.7.1,n/a,n/a,0,0,True,False,False,True,kazunin,skill_factory,mixed,False
ai-med/AbdomenNet,2021-06-18,"[{'file': 'quickNAT_pytorch/requirements.txt', 'version': 'nilearn==0.5.2\n', 'extracted_version': '0.5.2'}]",0.5.2,n/a,n/a,0,0,True,False,False,True,ai-med,AbdomenNet,mixed,False
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,2024-03-04,"[{'file': 'requirements.txt', 'version': 'nilearn==0.8.1\n', 'extracted_version': '0.8.1'}, {'file': 'setup.py', 'version': '#requirements = [""numpy"", ""scipy"", ""sklearn"", ""nibabel"", ""nilearn"", ""pandas"", ""statsmodels"", ""bctpy"", ""matplotlib"", ""h5py""]\n', 'extracted_version': '0.0.0'}]",several_versions_detected,"{'image': 5, 'plotting': 3, 'input_data': 3}","{'load_img': 4, 'new_img_like': 3, 'plot_matrix': 2, 'plot_glass_brain': 3, 'NiftiLabelsMasker': 1, 'binarize_img': 2, 'plot_roi': 3, 'threshold_img': 1, 'mean_img': 1, 'image': 1, 'nilearn': 1}",6,0,True,True,True,True,clinical-brain-networks,OCD_Naze_et_al_2022_Brain,python,False
clinical-brain-networks/OCDBaseline_public,2022-09-05,[],n/a,"{'plotting': 13, 'image': 15, 'regions': 3, 'glm': 5, 'input_data': 2, 'signal': 2, 'masking': 1}","{'plot_stat_map': 22, 'plotting': 55, 'coord_transform': 4, 'new_img_like': 8, 'connected_regions': 3, 'plot_prob_atlas': 3, 'index_img': 3, 'plot_roi': 4, 'show': 10, 'resample_to_img': 2, 'threshold_stats_img': 2, 'NiftiLabelsMasker': 1, 'NiftiSpheresMasker': 1, 'clean': 2, 'make_first_level_design_matrix': 1, 'run_glm': 1, 'FirstLevelModel': 1, 'compute_contrast': 1, 'apply_mask': 1, 'plot_img': 1, 'plot_glass_brain': 8, 'cm': 6, 'plot_anat': 1}",15,3,False,True,True,True,clinical-brain-networks,OCDBaseline_public,mixed,False
htylab/tigerbx,2025-02-02,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': ""             'nilearn>=0.9.2',\n"", 'extracted_version': '0.0.0'}]",0.0.0,{'image': 5},"{'reorder_img': 16, 'resample_img': 4, 'resample_to_img': 5}",5,0,True,True,True,True,htylab,tigerbx,python,False
KristianMoellmann/MLOps_git,2023-01-14,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'src/models/outputs/2023-01-08/18-06-36/wandb/run-20230108_180640-a2cf1oyh/files/requirements.txt', 'version': 'nilearn==0.7.1\n', 'extracted_version': '0.7.1'}, {'file': 'src/models/outputs/2023-01-08/18-05-50/wandb/run-20230108_180553-1coy83ne/files/requirements.txt', 'version': 'nilearn==0.7.1\n', 'extracted_version': '0.7.1'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': None, 'extracted_version': None}]",0.7.1,n/a,n/a,0,0,True,False,False,True,KristianMoellmann,MLOps_git,mixed,False
jerdra/simnibs_tutorial,2021-03-22,[],n/a,"{'image': 2, 'plotting': 2}","{'load_img': 2, 'image': 2, 'plot_anat': 4, 'plotting': 4}",0,2,False,True,True,True,jerdra,simnibs_tutorial,notebook,False
ShiboXing/Improved-3dbraingen,2022-01-06,[],n/a,"{'surface': 2, 'plotting': 10}","{'plot_img': 33, 'plotting': 68, 'show': 29, 'plot_anat': 6}",3,9,False,True,True,True,ShiboXing,Improved-3dbraingen,mixed,False
FarseenSh/Deep-Learning-Portfolio,2025-04-06,"[{'file': 'requirements.txt', 'version': 'nilearn>=0.8.0\n', 'extracted_version': '0.8.0'}, {'file': 'Medical/fMRI-Explorer/requirements.txt', 'version': 'nilearn>=0.8.0\n', 'extracted_version': '0.8.0'}, {'file': 'Medical/BrainSeg3D/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'Medical/ModalMerge/requirements.txt', 'version': 'nilearn>=0.8.0  # for fMRI preprocessing and visualization\n', 'extracted_version': '0.8.0'}]",0.8.0,"{'datasets': 1, 'image': 1, 'plotting': 1, 'connectome': 1, 'maskers': 1, 'glm': 1, 'surface': 1}","{'fetch_adhd': 1, 'datasets': 4, 'load_img': 3, 'image': 4, 'fetch_icbm152_2009': 1, 'index_img': 1, 'NiftiMasker': 1, 'plot_glass_brain': 1, 'plotting': 9, 'plot_stat_map': 3, 'fetch_atlas_harvard_oxford': 1, 'NiftiLabelsMasker': 1, 'ConnectivityMeasure': 2, 'connectome': 2, 'find_parcellation_cut_coords': 1, 'plot_connectome': 1, 'make_first_level_design_matrix': 1, 'FirstLevelModel': 1, 'fetch_surf_fsaverage': 1, 'vol_to_surf': 2, 'surface': 2, 'plot_surf_stat_map': 2, 'view_img': 1}",0,1,True,True,True,True,FarseenSh,Deep-Learning-Portfolio,notebook,False
